"filename","cost","incidence","replicate","tau","vhi","alpha","expt"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_1",1994.25287356322,7,1,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_10",32298.4674329502,30,10,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_100",61056.3218390804,66,100,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_101",773464.450830141,1563,101,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_102",5760.53639846743,16,102,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_103",26275.8620689655,24,103,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_104",38664.367816092,16,104,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_105",1764.75095785441,7,105,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_106",2681.99233716475,9,106,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_107",0,9,107,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_108",5375.47892720306,26,108,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_109",73179.69348659,70,109,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_11",4216.47509578545,9,11,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_110",33804.7892720307,18,110,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_111",21062.8352490421,46,111,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
"/gpfs/gpfs0/project/bii_nssac/COVID-19_USA_EpiHiper/rivanna/20220707-measles/exp1/tau_0.4_vhi_75_alpha_vacc_05/replicate_112",26206.8965517241,34,112,0.4,75,5,"tau_0.4_vhi_75_alpha_vacc_05"
